latitude,longitude,confidence,frp
-11.5043,130.25,68,38.8
-11.6442,130.385,88,28.7
-11.6456,130.3941,96,54.7
-11.7453,131.0684,60,9
-11.6545,130.3928,99,72.7
-11.6559,130.4019,99,73.7
-11.6444,130.2632,55,9.5
-11.6594,130.364,68,11.5
-11.6663,130.4097,94,48.5
-11.6676,130.4188,47,14.3
-11.687,130.4253,92,40.3
-11.696,130.4239,60,19.5
-11.7311,130.661,72,10.7
-11.7325,130.6701,93,45.2
-11.7235,130.4227,59,12.1
-11.7249,130.4319,65,14.7
-12.2555,134.0612,77,22.2
-12.4915,133.1635,67,13.6
-12.6743,134.4593,69,12.2
-12.6083,133.6534,60,8.9
-12.7096,134.402,60,9.4
-12.7481,134.5282,57,14.7
-12.6919,134.0376,60,15
-12.7412,134.3979,37,8.5
-12.7429,134.4108,86,46.8
-12.7542,134.5349,78,25.3
-12.6819,133.8985,78,24.3
-12.6834,133.9104,87,42.5
-12.6993,134.0308,63,14.1
-12.7481,134.4042,85,43.5
-12.7498,134.417,76,23.2
-12.6936,133.9089,74,18.6
-12.7289,134.1762,62,10.4
-12.7326,133.8915,69,16.1
-12.7709,133.8797,72,16.3
-12.8322,134.3471,67,12.9
-12.8472,134.4628,66,13.2
-13.0168,135.7107,72,27.3
-12.4148,131.1784,86,27.7
-12.4161,131.1876,89,34.3
-13.0284,135.7092,68,21.5
-12.4251,131.1863,54,10.7
-12.4265,131.1955,79,18
-12.9036,134.4819,46,7.6
-12.8335,133.8834,66,13.1
-12.8351,133.8953,70,16
-12.8815,134.2373,66,12.9
-12.4531,131.1258,76,13.1
-12.5056,131.4862,54,9.6
-12.507,131.4955,74,12.8
-12.5083,131.5048,61,11.3
-12.8919,134.2358,38,9.4
-12.5147,131.4849,77,26.2
-12.9679,134.5205,68,12.2
-12.5351,131.1828,61,7.2
-12.7196,132.47,80,19.1
-12.721,132.48,59,10.7
-12.9691,134.2065,44,9.4
-12.7384,132.4673,48,9.2
-13.0211,134.5134,61,9.1
-13.0553,134.489,67,13.8
-12.8667,132.9349,51,7.8
-12.8763,132.9336,38,8.7
-13.0875,134.2481,46,7.4
-12.9825,132.9655,72,16.2
-13.0056,132.9667,50,15.5
-13.0317,132.942,24,7
-13.0332,132.9525,50,11.4
-13.0577,132.9172,66,11.3
-13.0592,132.9278,30,5.5
-13.1181,132.9021,72,15.6
-13.1195,132.9128,73,16.6
-13.2275,131.912,59,6.7
-13.3017,131.9705,84,25.6
-13.3109,131.9691,71,10.5
-13.3123,131.9788,71,10.7
-13.3438,132.0181,64,10
-13.3771,132.0534,67,10
-13.3864,132.052,63,17.2
-13.4049,132.0494,78,16.1
-13.4063,132.0592,43,7.8
-13.4184,132.0775,59,15.8
-13.4277,132.0762,60,21.4
-13.4346,132.0787,42,9.5
-13.4425,132.0676,75,14
-13.4745,132.0931,77,16.2
-13.4759,132.103,69,11.1
-13.5709,131.4761,76,14.9
-13.5723,131.4855,49,5.7
-13.6448,130.5892,46,7.6
-13.6462,130.5984,33,7.8
-14.2779,134.9315,79,32.7
-14.2798,134.9464,56,19
-14.2775,134.9255,36,11.1
-14.2794,134.9405,83,43.8
-14.2924,134.9539,33,11.5
-13.8065,130.7501,22,5.2
-13.97,130.6095,54,8.6
-14.0086,130.4344,63,8.3
-14.0029,129.9591,67,10.6
-14.0463,130.0655,54,4.9
-14.0938,130.3874,67,6.9
-14.1564,130.6255,20,9.8
-14.1668,130.6333,58,21.6
-14.1681,130.6426,58,22.1
-14.1771,130.6412,56,12.9
-14.1798,130.6597,85,28.7
-14.1811,130.6689,69,12
-14.098,130.0417,39,8.2
-14.1901,130.6676,100,156
-14.1915,130.6768,98,68.3
-14.2005,130.6755,95,52.9
-14.2018,130.6847,100,99.1
-14.2032,130.694,69,12.1
-14.2108,130.6834,85,25.6
-14.2122,130.6926,86,27.5
-14.2135,130.7019,74,21.4
-14.2212,130.6913,80,18.1
-14.2225,130.7005,99,71.8
-14.2239,130.7098,100,162.1
-14.2252,130.719,75,15
-14.2302,130.6899,83,22.7
-14.2315,130.6992,82,21.9
-14.2329,130.7085,63,7.5
-14.2342,130.7177,93,49
-14.2356,130.727,90,39
-14.2446,130.7256,86,28.9
-14.1513,130.0275,34,5.4
-14.2542,130.7276,79,19.7
-14.2632,130.7263,80,19.9
-14.1665,130.0064,89,37
-14.1679,130.0156,74,18.1
-14.2722,130.725,81,22.4
-14.1769,130.0142,52,8
-14.2812,130.7236,75,15.2
-14.2825,130.7329,77,17.6
-14.2915,130.7315,43,9.3
-14.3131,130.6904,36,7.3
-14.3284,130.6692,74,11
-14.3298,130.6785,89,33.2
-14.3392,130.6801,82,21.6
-15.233,131.1981,76,15.6
-14.6158,130.6203,87,28
-14.6171,130.6296,89,33.5
-14.6262,130.6282,43,7
-14.6275,130.6375,80,18.8
-14.6365,130.6361,90,35.1
-14.6378,130.6454,87,29.1
-14.6469,130.644,82,20.6
-14.6518,130.6149,70,8.9
-14.6572,130.6519,68,10.2
-14.6586,130.6612,31,6.3
-14.6676,130.6598,87,31.1
-14.6689,130.6691,53,14.8
-14.6779,130.6678,52,14.1
-14.6793,130.677,88,31.1
-14.6896,130.685,72,12.2
-14.6987,130.6836,42,14.6
-14.708,130.6853,89,34.7
-14.7093,130.6946,63,15.1
-14.7183,130.6932,74,14.5
-14.7454,130.6892,36,9.5
-14.7467,130.6985,85,25.6
-14.7557,130.6971,65,13.9
-15.0126,131.7864,69,12.2
-15.0219,131.785,74,16.3
-15.0765,131.0718,49,6.9
-15.0778,131.0813,38,5.7
-15.1133,131.1344,83,23.5
-15.1147,131.1439,88,33.7
-15.1535,131.2848,84,26.4
-15.1481,131.1911,84,25.4
-15.1518,131.1514,55,9.4
-15.1585,131.1992,81,21.5
-15.1694,131.276,68,9.5
-15.0813,130.595,74,12.1
-15.169,131.2075,77,15.8
-15.1853,131.3229,86,29.1
-15.1867,131.3325,85,27.9
-15.1782,131.2062,79,17.8
-15.1959,131.3312,79,18.8
-15.205,131.3298,21,6.8
-15.1056,130.5721,61,11.5
-15.2033,131.2514,42,5.1
-15.1155,130.5136,72,12.7
-15.1617,130.0118,29,8.6
-14.6571,126.7274,57,16.1
-15.1652,129.9735,42,9.4
-15.1666,129.9827,90,36.1
-15.1693,130.0012,37,8.3
-15.2177,130.2679,56,11.1
-15.1804,129.9522,74,24.1
-15.2254,130.2573,69,16.1
-15.1826,129.9046,46,6.9
-15.188,129.9416,58,13.4
-15.1916,129.9033,80,19.6
-15.1929,129.9125,100,209.9
-15.1943,129.9217,96,58.7
-15.1957,129.931,54,18.4
-15.2379,130.2176,58,10.1
-14.7277,126.7771,64,13
-15.3345,130.7547,39,10.2
-15.3359,130.7641,24,9.1
-14.7359,126.7634,33,8
-14.7378,126.7753,40,8.7
-15.3632,130.7636,57,8.6
-15.3813,130.7608,85,24.6
-15.3826,130.7702,79,22.7
-15.3917,130.7689,72,16.7
-15.4003,130.5096,98,66.3
-15.4016,130.5189,45,7
-15.4342,130.7433,32,10
-15.4093,130.5082,73,8.1
-15.4106,130.5175,85,22.3
-15.4199,130.5192,80,14.2
-15.4212,130.5285,75,13
-15.4303,130.5271,79,14.3
-15.4316,130.5365,79,14.6
-15.4676,130.7223,25,6.3
-15.4871,130.5376,51,4.7
-15.5033,130.6497,53,15.2
-15.5047,130.6591,88,29.7
-15.488,130.4803,49,8.6
-15.4907,130.4989,45,7.3
-15.5083,130.6203,79,16.7
-15.511,130.639,54,8.4
-15.4847,130.3952,82,20
-15.5119,130.5816,75,16.6
-15.5133,130.5909,36,11.2
-15.4943,130.3972,59,8.5
-15.4983,130.4252,45,5.2
-15.4997,130.4345,67,9.6
-15.5145,130.537,71,10.6
-15.5159,130.5464,74,12.5
-15.5172,130.5557,71,14
-15.5186,130.565,75,17.4
-16.0477,125.8876,44,14.5
-16.073,125.9762,73,19.6
-16.0751,125.9889,55,10.3
-16.0793,126.0142,28,7.7
-16.0666,125.8708,52,33.1
-16.0772,125.9357,73,17.9
-16.0712,125.864,86,45.9
-16.0734,125.877,57,21.7
-14.6068,130.6216,78,15.1
-15.259,131.3257,44,5.6
-15.1372,130.4096,24,6.6
-15.1399,130.4281,22,5.2
-15.1413,130.4374,68,11
-15.1435,130.3897,32,7
-14.6178,126.9236,58,13.1
-15.2539,131.0914,76,18.3
-15.2647,131.1678,48,8.1
-15.2661,131.1774,79,19.8
-15.1322,129.9377,54,7.8
-14.6498,126.7351,86,39
-15.1997,130.3338,57,7.1
-15.2011,130.3431,72,12.9
-14.6469,126.729,36,16.5
-14.6489,126.7412,53,19
-21.785,119.1728,61,36.4
-21.7899,119.1791,30,31.4
-20.8069,119.4366,63,36.3
-21.7916,119.2042,56,29.2
-20.7916,119.44,60,32.3
-20.7961,119.4448,76,79.5
-33.6456,122.8547,84,30.3
-33.6381,122.8691,48,12.7
-33.6361,122.857,100,163.7
-36.3867,149.4772,63,15.5
-36.3898,149.4608,41,9.2
-34.0216,149.7264,91,96
-33.2264,147.1427,62,7.4
-34.1952,142.2431,93,50.7
-34.1937,142.2542,85,25.6
-34.1922,142.2654,83,22
-34.0099,149.7236,62,18
-33.6618,142.65,57,4.2
-33.7407,141.9979,70,8.8
-32.9959,146.4518,40,6.1
-32.9861,146.4494,59,8.1
-32.2499,146.716,45,5.3
-32.2159,146.7446,57,5.9
-32.2182,146.731,74,15.4
-31.943,147.2475,80,27.3
-32.0094,146.264,50,6.8
-31.4337,149.1622,25,19.2
-31.7263,147.1809,56,6.2
-31.3045,146.2422,51,6.7
-30.4173,148.5617,64,11.9
-29.4616,148.3872,54,9.7
-28.0332,148.162,77,32.8
-26.2403,149.125,29,14
-27.7885,148.5373,64,25.4
-27.7846,148.5574,46,17.4
-28.0368,148.1432,65,20.9
-27.8608,149.1714,40,19.8
-28.4688,150.8306,17,23.4
-20.7397,139.4738,64,13.9
-15.4176,142.3863,75,31.4
-15.4279,142.3881,77,38.9
-15.4341,142.4143,66,24.9
-16.2889,136.9128,64,11.1
-15.4357,142.7368,51,15.8
-16.2998,136.9037,55,10.4
-15.6367,143.2138,61,26.1
-15.6384,143.2197,81,33.6
-14.7993,144.3171,84,53.4
-16.1198,136.6612,100,86.9
-14.8823,144.3044,82,53.1
-16.0479,136.2908,60,9.1
-16.1279,136.6732,36,17.6
-14.7965,144.334,59,33.9
-16.1251,136.6945,90,51.2
-16.1237,136.7051,65,21.7
-16.1332,136.7065,89,37.4
-16.1685,136.6203,64,13
-15.3808,142.1765,62,27.3
-15.3909,142.1783,53,25.4
-15.3789,142.1884,76,28.1
-13.0823,134.1714,65,13.1
-15.2597,131.077,80,81.2
-13.8157,141.9836,36,18.5
-15.2596,131.1727,45,36.1
-15.2539,131.0965,53,31.4
-15.2567,131.0716,74,56.6
-15.1844,131.3361,32,31.1
-15.187,131.3123,71,56
-15.1617,131.285,44,43.5
-15.1696,131.2119,87,115.4
-15.1723,131.1876,84,93.3
-15.1478,131.2833,45,23.8
-15.1787,131.2062,85,101.1
-15.1563,131.2775,56,39.2
-15.1646,131.2046,84,98.7
-15.1674,131.1803,46,33.8
-13.5892,142.6306,73,15.7
-15.2247,130.2667,64,58.6
-15.0168,131.7749,57,24.5
-15.0795,131.0694,50,31.8
-15.0222,131.7703,42,21.2
-15.1476,130.4278,34,33.3
-15.1235,130.5099,31,32.1
-15.1621,130.012,41,34.8
-15.1653,129.9827,39,47.4
-14.2988,134.9368,53,21.3
-14.2884,134.9353,67,22
-14.278,134.9339,81,41.3
-14.7572,130.6943,37,33.4
-14.756,130.6892,61,42.7
-14.7415,130.6875,39,34.5
-14.7124,130.6841,48,43.5
-14.6978,130.6829,71,62.2
-14.6716,130.6531,60,68
-12.9562,142.4939,53,16.6
-14.3369,130.6706,47,35.8
